mesh_idx,mesh_name,sphere_obj,target_obj,n_points,iou_pitch_mult,padding,max_voxels,pitch,iou_naive,iou_aligned,rmse,grid_dim_x,grid_dim_y,grid_dim_z
6,mesh_00006,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00006\mesh_00006.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.9119170984455959,0.9478468899521532,0.000696594922195928,17,17,17
7,mesh_00007,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00007\mesh_00007.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.9088774072334429,0.9360381861575179,0.0007254833173591277,17,17,17
8,mesh_00008,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00008\mesh_00008.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.9021077283372365,0.9258555133079848,0.0007918394375002121,17,17,17
9,mesh_00009,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00009\mesh_00009.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.8875932835820896,0.9274116523400191,0.0008265179309611741,17,17,17
10,mesh_00010,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00010\mesh_00010.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.8622920517560074,0.9076343072573044,0.0009486949540331985,18,17,17
11,mesh_00011,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00011\mesh_00011.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.8426349496797805,0.8933083762283575,0.0010051471391827888,18,17,17
12,mesh_00012,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00012\mesh_00012.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.8303774442928604,0.8802423112767941,0.0010152097280226383,18,18,17
13,mesh_00013,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00013\mesh_00013.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.8175248419150858,0.8667283664969921,0.0009965162839846236,18,18,17
14,mesh_00014,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00014\mesh_00014.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7969588550983899,0.8506433823529411,0.000987918783336492,18,18,17
15,mesh_00015,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00015\mesh_00015.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7762516614975631,0.8428767750801649,0.0009854505471300528,18,18,17
16,mesh_00016,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00016\mesh_00016.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7641882974043115,0.8195829555757026,0.0010183578160354457,18,18,17
17,mesh_00017,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00017\mesh_00017.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7509864094695309,0.8115942028985508,0.0009829765626198522,18,18,17
18,mesh_00018,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00018\mesh_00018.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7402088772845953,0.808529945553539,0.001005525968002184,18,18,17
19,mesh_00019,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00019\mesh_00019.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7329865626354573,0.7951971001359311,0.0009971826941402898,18,18,17
20,mesh_00020,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00020\mesh_00020.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7311688311688311,0.7949298325033952,0.0009872020782282615,18,18,17
21,mesh_00021,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere\mesh_00000.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00021\mesh_00021.obj,100000,2.0,0.02,250000000,0.005017313684727506,0.7334200260078023,0.7949412827461608,0.0009761370063039599,18,18,17
