mesh_idx,mesh_name,target_dir,target_obj,init_kind,init_path,results_step_dir,recon_ply,used_iter,nevals,numsteps,checkpoint,n_points,iou_pitch_mult,padding,max_voxels,pitch,iou_naive,iou_aligned,rmse,grid_dim_x,grid_dim_y,grid_dim_z
6,mesh_00006,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00006,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00006\mesh_00006.obj,dir,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Drake_Sphere,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00006,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00006\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.004955453425905464,0.9033728350045579,0.9623706491063029,0.0006650168740549691,18,18,17
7,mesh_00007,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00007,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00007\mesh_00007.obj,ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00006\evals_20_iter299.ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00007,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00007\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005076912851092198,0.9029887310142087,0.9601613716591024,0.0006699507672785752,17,17,16
8,mesh_00008,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00008,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00008\mesh_00008.obj,ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00007\evals_20_iter299.ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00008,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00008\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005019151141380382,0.881155303030303,0.9415204678362573,0.0008440243354391885,18,18,16
9,mesh_00009,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00009,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00009\mesh_00009.obj,ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00008\evals_20_iter299.ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00009,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00009\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005155499467739532,0.8735926305015353,0.9352972119936875,0.0008164386989337799,17,17,16
10,mesh_00010,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00010,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00010\mesh_00010.obj,ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00009\evals_20_iter299.ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00010,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00010\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005127332671342934,0.8592111832251622,0.932952182952183,0.0007922794427490473,18,17,16
11,mesh_00011,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00011,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00011\mesh_00011.obj,ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00010\evals_20_iter299.ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00011,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00011\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005068042822301781,0.8429394812680115,0.9164582291145573,0.0008693799280252264,18,17,16
12,mesh_00012,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00012,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00012\mesh_00012.obj,ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00011\evals_20_iter299.ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00012,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00012\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005173170535462981,0.8168516649848637,0.9181721572794899,0.0009369386200738038,17,17,16
13,mesh_00013,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00013,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00013\mesh_00013.obj,ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00012\evals_20_iter299.ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00013,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00013\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.00521702570847861,0.796002050230651,0.9064200217627857,0.0009441832768262555,17,17,16
14,mesh_00014,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00014,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00014\mesh_00014.obj,ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00013\evals_20_iter299.ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00014,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00014\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005176064466544042,0.7805970149253731,0.8972457627118644,0.0009555798816009355,17,17,16
15,mesh_00015,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00015,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00015\mesh_00015.obj,ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00014\evals_20_iter299.ply,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00015,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\mesh_00015\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005079970524905433,0.7787193973634652,0.8941294530858003,0.0009671382700421418,18,17,16
