mesh_idx,mesh_name,target_obj,results_step_dir,recon_ply,used_iter,nevals,numsteps,checkpoint,n_points,iou_pitch_mult,padding,max_voxels,pitch,iou_naive,iou_aligned,rmse,grid_dim_x,grid_dim_y,grid_dim_z
6,mesh_00006,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00006\mesh_00006.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00006,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00006\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005122907780844531,0.9144008056394763,0.9612002069322297,0.0006598236098558738,17,17,16
7,mesh_00007,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00007\mesh_00007.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00007,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00007\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005108964897686201,0.9070114370959722,0.9580348004094166,0.0006541794114364039,17,17,16
8,mesh_00008,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00008\mesh_00008.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00008,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00008\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005139039527600054,0.8785425101214575,0.9463262115685253,0.0007236320703451976,17,17,16
9,mesh_00009,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00009\mesh_00009.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00009,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00009\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.0050934450953770425,0.8713794796269023,0.9517276422764228,0.000731333609660961,17,17,16
10,mesh_00010,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00010\mesh_00010.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00010,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00010\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005143918692800155,0.8550578761952693,0.9368475991649269,0.0008826997057706106,18,17,17
11,mesh_00011,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00011\mesh_00011.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00011,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00011\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005109017405163045,0.84330900243309,0.9354508196721312,0.0008475671497553012,17,17,17
12,mesh_00012,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00012\mesh_00012.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00012,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00012\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005092331258483016,0.835016835016835,0.9256449165402124,0.0008740263986766795,17,17,17
13,mesh_00013,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00013\mesh_00013.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00013,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00013\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005041249996915815,0.8009132420091324,0.9330708661417323,0.0008288207239893252,18,17,17
14,mesh_00014,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00014\mesh_00014.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00014,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00014\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005183970221418855,0.781988188976378,0.925531914893617,0.0008779904491410874,17,17,17
15,mesh_00015,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00015\mesh_00015.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00015,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00015\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005142316940000438,0.7674641148325358,0.9171413775245987,0.0008895304516479592,17,17,16
16,mesh_00016,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00016\mesh_00016.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00016,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00016\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005124521738214017,0.7407407407407407,0.8986693961105425,0.000950028764387126,18,17,17
17,mesh_00017,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00017\mesh_00017.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00017,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00017\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005121384524432799,0.7433004231311706,0.8836382113821138,0.0009495981878347047,18,17,17
18,mesh_00018,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00018\mesh_00018.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00018,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00018\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005214056788264428,0.7207472959685349,0.8718766613503456,0.0009041725750150791,17,17,16
19,mesh_00019,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00019\mesh_00019.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00019,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00019\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.0052230261203846185,0.7018664047151277,0.8698924731182796,0.000919016148078311,17,17,16
20,mesh_00020,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00020\mesh_00020.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00020,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00020\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005195769862838654,0.7075289575289575,0.8636124275934702,0.0009403289203822233,18,17,16
21,mesh_00021,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00021\mesh_00021.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00021,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00021\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005160722860940949,0.708274231678487,0.8820195775373518,0.0009061987005522433,18,17,16
22,mesh_00022,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00022\mesh_00022.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00022,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00022\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005105667724324241,0.6990825688073394,0.8638874937217479,0.0009300628673822148,18,18,17
23,mesh_00023,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00023\mesh_00023.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00023,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00023\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005153543878279613,0.7121212121212122,0.8684889118102115,0.0009501721524023958,18,17,16
24,mesh_00024,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00024\mesh_00024.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00024,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00024\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005105752572374276,0.7128486511202561,0.8717693836978131,0.0009042813544954473,18,18,16
25,mesh_00025,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00025\mesh_00025.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00025,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00025\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005190495160391023,0.7109073359073359,0.8825093035619351,0.000961484542924434,18,17,16
26,mesh_00026,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00026\mesh_00026.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00026,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00026\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.0051447775813468774,0.7127409496944053,0.877488514548239,0.0009701653718062312,18,17,17
27,mesh_00027,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00027\mesh_00027.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00027,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00027\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005052191379572453,0.7065073041168659,0.8781553398058253,0.0009240654014010208,18,18,17
28,mesh_00028,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00028\mesh_00028.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00028,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00028\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005128869488671676,0.7312382739212008,0.882800608828006,0.0008987423426110737,18,17,16
29,mesh_00029,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00029\mesh_00029.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00029,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00029\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005128923161275278,0.7491702228544334,0.8912820512820513,0.0009014975044680789,18,17,16
30,mesh_00030,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00030\mesh_00030.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00030,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00030\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.0050672354828323486,0.7465042850699143,0.9019221291276491,0.0009088992337132245,18,18,17
31,mesh_00031,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00031\mesh_00031.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00031,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00031\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005091356197430738,0.7660656495607951,0.9146464646464646,0.0008820850109311529,18,17,17
32,mesh_00032,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00032\mesh_00032.obj,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00032,C:\Users\cahit\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_ne20\mesh_00032\evals_20_iter299.ply,299,20,300,10,100000,2.0,0.02,250000000,0.005171210111599682,0.7890357317670093,0.9229551451187336,0.0008611995717769676,17,17,16
