mesh_idx,mesh_name,target_obj,results_step_dir,recon_ply,used_iter,nevals,numsteps,checkpoint,n_points,iou_pitch_mult,padding,max_voxels,pitch,iou_naive,iou_aligned,rmse,grid_dim_x,grid_dim_y,grid_dim_z
6,mesh_00006,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00006\mesh_00006.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00006,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00006\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.00514328241888763,0.9244604316546763,0.9423975090814738,0.0008014349349766024,17,17,17
7,mesh_00007,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00007\mesh_00007.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00007,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00007\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005224826835601094,0.8870538092701119,0.9448732083792724,0.0008257613472496757,17,17,16
8,mesh_00008,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00008\mesh_00008.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00008,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00008\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005070738934815999,0.8882900538951495,0.946258161727775,0.0008776775460531618,17,17,17
9,mesh_00009,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00009\mesh_00009.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00009,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00009\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005155059358931371,0.8617558022199798,0.9347711730668069,0.0008284116033676293,17,17,16
10,mesh_00010,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00010\mesh_00010.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00010,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00010\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005284842095616056,0.8549865229110513,0.9356492027334852,0.0009059853017267955,17,17,16
11,mesh_00011,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00011\mesh_00011.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00011,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00011\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005183486364241154,0.840528186896902,0.9269722814498934,0.0009529777972697104,17,17,16
12,mesh_00012,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00012\mesh_00012.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00012,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00012\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005091420961962209,0.8205250596658711,0.9238527483610691,0.0009344291244608914,17,17,17
13,mesh_00013,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00013\mesh_00013.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00013,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00013\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.004942444431412176,0.8063958513396715,0.9183111519045434,0.000966199639292059,18,18,17
14,mesh_00014,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00014\mesh_00014.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00014,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00014\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005156743531757513,0.7902200488997555,0.9032258064516129,0.0009958353286930548,17,17,16
15,mesh_00015,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\data\Bubble_Grasp_Deep_0.05x40\mesh_00015\mesh_00015.obj,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00015,C:\Users\cagri\Isospectralization_Soft_Robots\external_isospectralization\code_for_3D\results\Cascade_Recon\sphere_init_nevals75\mesh_00015\evals_75_iter299.ply,299,75,300,10,100000,2.0,0.02,250000000,0.005127363806481884,0.7786885245901639,0.8916581892166836,0.000995419540350314,18,17,17
